iter	Passed	Remaining
0	2	200
1	3	168
2	6	205
3	7	181
4	8	162
5	9	153
6	10	145
7	11	135
8	12	127
9	13	121
10	14	116
11	15	111
12	16	107
13	16	103
14	17	101
15	18	99
16	19	96
17	21	99
18	22	96
19	23	94
20	24	92
21	25	89
22	26	87
23	27	85
24	27	83
25	28	81
26	29	79
27	30	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	36	67
35	36	65
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	92	0
