iter	RMSE
0	9.016821335
1	8.816513833
2	8.618603457
3	8.458175121
4	8.311865082
5	8.140962681
6	7.976746698
7	7.822011212
8	7.663038301
9	7.506423007
10	7.366032006
11	7.22514695
12	7.077206461
13	6.935075154
14	6.807096089
15	6.662314438
16	6.540955862
17	6.426555656
18	6.305159347
19	6.183370912
20	6.067560615
21	5.957468987
22	5.84637861
23	5.744065314
24	5.644420965
25	5.544276733
26	5.458358457
27	5.372710594
28	5.280805472
29	5.187515144
30	5.099814137
31	5.019626511
32	4.940697945
33	4.860770562
34	4.794043739
35	4.722571499
36	4.659753699
37	4.596414994
38	4.527079163
39	4.452847537
40	4.395794051
41	4.329756378
42	4.278833176
43	4.205320559
44	4.150636782
45	4.093529944
46	4.030795691
47	3.978013951
48	3.921472261
49	3.872496916
50	3.81732062
51	3.770672038
52	3.720227543
53	3.683393008
54	3.647070884
55	3.604216648
56	3.565037808
57	3.526050689
58	3.489430497
59	3.453096371
60	3.417746042
61	3.379139955
62	3.346258716
63	3.314201713
64	3.282756009
65	3.256871037
66	3.220738183
67	3.187052671
68	3.155747456
69	3.13471355
70	3.106511906
71	3.081535352
72	3.057381489
73	3.027200293
74	3.0007173
75	2.971845447
76	2.947386761
77	2.920479689
78	2.901016218
79	2.875781615
80	2.852281264
81	2.829895537
82	2.815464746
83	2.792772348
84	2.769281659
85	2.745589552
86	2.723538156
87	2.703880458
88	2.683980001
89	2.663238028
90	2.639758551
91	2.62350487
92	2.611423458
93	2.593217114
94	2.576547285
95	2.563735322
96	2.554163217
97	2.539750412
98	2.526829272
99	2.510452687
100	2.49551114
101	2.481889369
102	2.465111576
103	2.447533815
104	2.432027201
105	2.420754386
106	2.407786856
107	2.396498893
108	2.38466426
109	2.371426219
110	2.357205182
111	2.348148759
112	2.337991531
113	2.323765283
114	2.310668935
115	2.299639611
116	2.289206339
117	2.275963734
118	2.262166441
119	2.252329265
120	2.240111684
121	2.228066991
122	2.217646263
123	2.206407221
124	2.193641047
125	2.181038503
126	2.171351868
127	2.163782926
128	2.155308173
129	2.144962526
130	2.136798926
131	2.126645774
132	2.118817081
133	2.108174173
134	2.100108676
135	2.091429147
136	2.079626548
137	2.073036122
138	2.066275092
139	2.05801863
140	2.051895246
141	2.043832447
142	2.03733307
143	2.028575305
144	2.020147954
145	2.010631835
146	2.001510844
147	1.99377337
148	1.987461772
149	1.980808481
150	1.972767303
151	1.96615426
152	1.95916222
153	1.954675422
154	1.947172483
155	1.942223653
156	1.93385115
157	1.926815798
158	1.919735538
159	1.912966721
160	1.907665031
161	1.90153993
162	1.896185846
163	1.890037894
164	1.879111871
165	1.872250211
166	1.8659954
167	1.859321222
168	1.855220891
169	1.84990011
170	1.842613114
171	1.835438021
172	1.829611121
173	1.825259333
174	1.820879847
175	1.815197351
176	1.80795206
177	1.801407425
178	1.795935747
179	1.790574964
180	1.787506696
181	1.783299606
182	1.775413424
183	1.769177184
184	1.763147807
185	1.75851577
186	1.749569123
187	1.745098725
188	1.739973085
189	1.732334565
190	1.727604669
191	1.723097843
192	1.718062671
193	1.712424107
194	1.708363985
195	1.702777183
196	1.697841114
197	1.694929042
198	1.689672478
199	1.684532327
200	1.679636931
201	1.674327644
202	1.669965808
203	1.666617754
204	1.660798707
205	1.655200086
206	1.64999752
207	1.643556324
208	1.638909962
209	1.635107145
210	1.631215646
211	1.626969341
212	1.62231929
213	1.61646408
214	1.612384901
215	1.605972974
216	1.602126865
217	1.597665112
218	1.591468351
219	1.588507591
220	1.583715823
221	1.578085809
222	1.573638525
223	1.568815469
224	1.564135203
225	1.558885284
226	1.556599307
227	1.552322166
228	1.547687763
229	1.543777926
230	1.539468891
231	1.534972461
232	1.529260419
233	1.524025606
234	1.51656954
235	1.511377898
236	1.507681118
237	1.503396413
238	1.49881081
239	1.494248159
240	1.48725396
241	1.483249714
242	1.480565872
243	1.475791593
244	1.471355908
245	1.46776721
246	1.465686232
247	1.461228557
248	1.457637959
249	1.452163376
250	1.447311173
251	1.443293146
252	1.439160798
253	1.435962436
254	1.429870686
255	1.426509464
256	1.423777992
257	1.421972891
258	1.418603696
259	1.414799055
260	1.410957619
261	1.406920031
262	1.402803842
263	1.398775562
264	1.395146685
265	1.390326945
266	1.387177819
267	1.383064328
268	1.379556779
269	1.377674124
270	1.374708135
271	1.370781411
272	1.366659434
273	1.364540183
274	1.358550373
275	1.354852681
276	1.351014198
277	1.346607529
278	1.343111021
279	1.339090349
280	1.335259539
281	1.333966059
282	1.33012275
283	1.326285849
284	1.321943813
