iter	Passed	Remaining
0	156	156525
1	159	79426
2	160	53351
3	161	40336
4	163	32511
5	165	27358
6	166	23650
7	168	20842
8	169	18658
9	170	16911
10	172	15486
11	173	14289
12	174	13277
13	176	12427
14	177	11679
15	179	11043
16	181	10467
17	182	9948
18	183	9481
19	184	9062
20	186	8683
21	187	8339
22	188	8025
23	190	7742
24	191	7481
25	193	7247
26	194	7021
27	196	6816
28	197	6626
29	199	6445
30	200	6273
31	202	6111
32	203	5958
33	204	5815
34	206	5680
35	207	5552
36	209	5443
37	210	5335
38	212	5229
39	213	5129
40	215	5031
41	216	4936
42	217	4847
43	219	4760
44	220	4677
45	221	4598
46	223	4523
47	224	4456
48	226	4393
49	227	4325
50	229	4264
51	230	4201
52	231	4142
53	232	4077
54	234	4023
55	235	3969
56	236	3917
57	238	3868
58	239	3824
59	241	3780
60	242	3736
61	244	3699
62	245	3656
63	247	3614
64	248	3574
65	249	3535
66	251	3497
67	252	3461
68	253	3425
69	255	3394
70	257	3364
71	258	3331
72	259	3299
73	261	3268
74	262	3237
75	263	3208
76	265	3179
77	266	3150
78	267	3123
79	269	3097
80	270	3074
81	272	3052
82	274	3029
83	275	3005
84	277	2981
85	278	2958
86	279	2936
87	281	2913
88	282	2891
89	283	2869
90	285	2852
91	287	2832
92	288	2814
93	289	2793
94	291	2774
95	292	2754
96	293	2730
97	294	2712
98	295	2691
99	297	2673
100	298	2656
101	299	2640
102	301	2626
103	303	2611
104	304	2594
105	305	2579
106	307	2563
107	308	2549
108	310	2534
109	311	2519
110	312	2505
111	314	2490
112	317	2490
113	318	2478
114	320	2467
115	321	2453
116	323	2439
117	324	2426
118	325	2412
119	327	2399
120	328	2387
121	332	2390
122	333	2379
123	335	2368
124	336	2355
125	337	2343
126	339	2331
127	340	2319
128	341	2308
129	343	2296
130	346	2301
131	348	2290
132	349	2279
133	351	2268
134	352	2258
135	353	2247
136	355	2237
137	356	2226
138	357	2216
139	359	2207
140	361	2201
141	362	2193
142	364	2184
143	366	2176
144	367	2166
145	368	2157
146	370	2148
147	371	2140
148	373	2131
149	374	2124
150	376	2116
151	377	2108
152	379	2100
153	380	2092
154	382	2083
155	383	2074
156	384	2066
157	386	2057
158	387	2049
159	389	2042
160	390	2037
161	392	2029
162	393	2022
163	395	2014
164	396	2006
165	397	1998
166	399	1990
167	400	1983
168	401	1975
169	403	1967
170	404	1960
171	405	1953
172	407	1946
173	408	1939
174	410	1933
175	411	1925
176	412	1918
177	413	1911
178	415	1904
179	416	1896
180	417	1889
181	418	1883
182	420	1877
183	422	1871
184	423	1866
185	425	1860
186	426	1854
187	427	1847
188	429	1841
189	430	1835
190	431	1828
191	433	1822
192	434	1816
193	435	1810
194	438	1812
195	440	1807
196	441	1800
197	443	1795
198	444	1789
199	445	1782
200	447	1776
201	448	1771
202	449	1765
203	451	1760
204	452	1756
205	454	1751
206	455	1746
207	457	1740
208	458	1734
209	459	1729
210	460	1723
211	462	1718
212	463	1712
213	464	1707
214	466	1702
215	467	1697
216	469	1692
217	470	1687
218	471	1683
219	473	1677
220	474	1672
221	475	1667
222	477	1662
223	478	1657
224	479	1652
225	480	1647
226	482	1643
227	483	1638
228	485	1633
229	486	1629
230	488	1624
231	489	1619
232	490	1614
233	491	1610
234	493	1605
235	494	1600
236	495	1595
237	497	1591
238	498	1588
239	501	1589
240	503	1584
241	504	1580
242	505	1575
243	507	1571
244	508	1567
245	510	1563
246	511	1558
247	513	1555
248	514	1552
249	516	1548
250	517	1543
251	518	1539
252	519	1535
253	521	1530
254	522	1526
255	523	1522
256	525	1518
257	526	1514
258	528	1510
259	529	1507
260	530	1503
261	532	1498
262	533	1494
263	534	1490
264	536	1486
265	537	1482
266	538	1479
267	540	1475
268	541	1471
269	542	1468
270	544	1464
271	545	1460
272	547	1457
273	548	1453
274	549	1449
275	551	1445
276	552	1441
277	553	1437
278	554	1434
279	556	1430
280	557	1426
281	559	1423
282	560	1420
283	562	1417
284	563	1414
285	564	1410
286	566	1406
287	567	1403
288	569	1399
289	570	1396
290	571	1393
291	573	1389
292	574	1387
293	576	1384
294	577	1381
295	579	1377
296	580	1374
297	582	1371
298	583	1367
299	584	1364
300	586	1361
301	587	1358
302	589	1355
303	590	1353
304	592	1350
305	594	1347
306	595	1344
307	596	1340
308	598	1338
309	599	1335
310	601	1332
311	602	1329
312	604	1326
313	605	1323
314	607	1320
315	608	1317
316	610	1314
317	611	1312
318	613	1308
319	614	1305
320	615	1302
321	617	1299
322	618	1296
323	620	1294
324	621	1291
325	623	1289
326	624	1286
327	626	1282
328	627	1279
329	628	1276
330	630	1274
331	631	1271
332	633	1268
333	635	1266
334	636	1263
335	638	1260
336	639	1257
337	640	1255
338	642	1252
339	643	1249
340	644	1246
341	646	1243
342	647	1240
343	649	1238
344	650	1235
345	652	1233
346	654	1231
347	655	1228
348	656	1225
349	658	1222
350	659	1219
351	661	1217
352	662	1214
353	663	1211
354	665	1209
355	666	1206
356	668	1204
357	670	1201
358	671	1199
359	673	1196
360	674	1193
361	676	1191
362	677	1189
363	679	1186
364	680	1184
365	682	1181
366	683	1179
367	685	1176
368	686	1174
369	687	1171
370	689	1168
371	690	1166
372	692	1164
373	693	1161
374	695	1159
375	697	1156
376	698	1154
377	700	1152
378	701	1149
379	702	1146
380	704	1144
381	705	1142
382	707	1139
383	708	1136
384	710	1134
385	712	1132
386	713	1130
387	714	1127
388	716	1125
389	717	1122
390	719	1120
391	720	1117
392	721	1115
393	723	1112
394	724	1109
395	726	1107
396	727	1105
397	728	1102
398	730	1100
399	731	1097
400	733	1095
401	734	1092
402	735	1090
403	737	1088
404	738	1085
405	740	1083
406	742	1081
407	743	1078
408	744	1076
409	746	1074
410	747	1071
411	749	1069
412	750	1066
413	752	1064
414	753	1062
415	754	1059
416	756	1057
417	757	1055
418	759	1052
419	760	1050
420	761	1047
421	763	1045
422	764	1043
423	766	1040
424	767	1038
425	768	1036
426	770	1033
427	771	1031
428	773	1029
429	774	1026
430	775	1024
431	777	1022
432	778	1019
433	780	1017
434	781	1015
435	783	1013
436	784	1010
437	786	1008
438	787	1006
439	789	1004
440	790	1002
441	792	1000
442	793	998
443	795	996
444	796	993
445	798	991
446	799	989
447	800	986
448	802	984
449	804	982
450	805	980
451	806	978
452	808	976
453	809	973
454	811	971
455	812	969
456	813	966
457	815	964
458	816	962
459	818	961
460	820	959
461	821	957
462	823	955
463	825	953
464	826	950
465	827	948
466	829	946
467	831	944
468	832	942
469	834	941
470	836	939
471	838	937
472	839	935
473	840	933
474	842	931
475	844	929
476	845	927
477	847	925
478	848	923
479	850	921
480	852	919
481	853	917
482	855	915
483	856	913
484	858	911
485	859	909
486	862	908
487	864	906
488	866	905
489	867	903
490	869	901
491	870	899
492	872	897
493	873	895
494	875	893
495	877	891
496	881	892
497	883	890
498	885	888
499	886	886
500	888	884
501	889	882
502	890	880
503	893	879
504	895	878
505	897	876
506	898	874
507	900	872
508	901	869
509	903	867
510	904	865
511	908	865
512	910	863
513	912	862
514	913	860
515	915	858
516	916	856
517	917	854
518	919	851
519	920	849
520	922	847
521	923	845
522	925	843
523	926	841
524	928	839
525	929	837
526	931	835
527	932	833
528	934	831
529	935	829
530	937	827
531	938	825
532	940	824
533	942	822
534	943	820
535	945	818
536	946	816
537	947	814
538	949	812
539	951	810
540	952	808
541	953	806
542	955	804
543	957	802
544	958	800
545	960	798
546	961	796
547	963	794
548	964	792
549	966	790
550	967	788
551	969	786
552	970	784
553	972	783
554	974	781
555	975	779
556	977	777
557	978	775
558	980	773
559	981	771
560	983	769
561	984	767
562	986	765
563	988	763
564	989	762
565	991	760
566	992	758
567	994	756
568	995	754
569	997	752
570	998	750
571	1000	748
572	1002	746
573	1003	744
574	1005	742
575	1006	740
576	1007	738
577	1009	736
578	1010	734
579	1012	732
580	1013	730
581	1014	728
582	1016	726
583	1017	725
584	1019	723
585	1020	721
586	1022	719
587	1023	717
588	1025	715
589	1027	713
590	1028	711
591	1030	709
592	1032	708
593	1033	706
594	1035	704
595	1036	702
596	1038	700
597	1039	698
598	1040	696
599	1042	694
600	1043	692
601	1044	690
602	1046	688
603	1048	687
604	1049	685
605	1050	683
606	1052	681
607	1053	679
608	1054	677
609	1056	675
610	1057	673
611	1059	671
612	1060	669
613	1062	667
614	1063	665
615	1064	663
616	1066	661
617	1067	660
618	1069	658
619	1070	656
620	1072	654
621	1073	652
622	1074	650
623	1076	648
624	1077	646
625	1079	644
626	1080	642
627	1082	641
628	1083	639
629	1084	637
630	1086	635
631	1087	633
632	1089	631
633	1090	629
634	1092	627
635	1093	625
636	1095	624
637	1096	622
638	1097	620
639	1099	618
640	1100	616
641	1101	614
642	1103	612
643	1104	610
644	1106	608
645	1107	607
646	1109	605
647	1110	603
648	1112	601
649	1113	599
650	1115	597
651	1116	595
652	1117	593
653	1119	592
654	1120	590
655	1121	588
656	1123	586
657	1125	584
658	1126	582
659	1127	580
660	1129	579
661	1130	577
662	1132	575
663	1133	573
664	1134	571
665	1136	569
666	1138	568
667	1139	566
668	1141	564
669	1142	562
670	1144	560
671	1145	559
672	1146	557
673	1148	555
674	1149	553
675	1151	551
676	1152	549
677	1154	548
678	1155	546
679	1156	544
680	1158	542
681	1159	540
682	1161	538
683	1162	537
684	1163	535
685	1165	533
686	1166	531
687	1168	529
688	1169	527
689	1171	526
690	1172	524
691	1174	522
692	1175	520
693	1176	518
694	1177	516
695	1179	515
696	1180	513
697	1181	511
698	1197	515
699	1199	514
700	1200	512
701	1202	510
702	1203	508
703	1205	506
704	1206	504
705	1208	503
706	1209	501
707	1211	499
708	1212	497
709	1214	495
710	1215	494
711	1217	492
712	1218	490
713	1220	488
714	1221	486
715	1222	484
716	1224	483
717	1225	481
718	1226	479
719	1228	477
720	1229	475
721	1231	474
722	1232	472
723	1234	470
724	1235	468
725	1236	466
726	1238	464
727	1239	463
728	1241	461
729	1242	459
730	1244	457
731	1246	456
732	1247	454
733	1249	452
734	1250	450
735	1251	448
736	1252	447
737	1254	445
738	1255	443
739	1256	441
740	1258	439
741	1259	437
742	1261	436
743	1262	434
744	1263	432
745	1265	430
746	1266	428
747	1267	427
748	1269	425
749	1270	423
750	1271	421
751	1273	419
752	1274	418
753	1276	416
754	1277	414
755	1278	412
756	1280	411
757	1281	409
758	1282	407
759	1284	405
760	1285	403
761	1287	401
762	1288	400
763	1289	398
764	1291	396
765	1292	394
766	1294	393
767	1295	391
768	1296	389
769	1298	387
770	1299	386
771	1301	384
772	1302	382
773	1303	380
774	1305	379
775	1306	377
776	1308	375
777	1309	373
778	1311	371
779	1312	370
780	1313	368
781	1315	366
782	1316	364
783	1317	363
784	1318	361
785	1320	359
786	1321	357
787	1323	355
788	1324	354
789	1325	352
790	1327	350
791	1328	348
792	1329	347
793	1331	345
794	1332	343
795	1334	341
796	1335	340
797	1337	338
798	1338	336
799	1340	335
